t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
1338851,2575,1842,2508,2574,2369,0,0,0,0,0,0,0,0,S
1338861,2564,1844,2502,2564,2353,0,0,0,0,0,0,0,0,S
1338896,2569,1840,2505,2573,2347,0,0,0,0,0,0,0,0,S
1338906,2574,1849,2500,2569,2351,0,0,0,0,0,0,0,0,S
1338941,2570,1861,2511,2571,2368,0,0,0,0,0,0,0,0,S
1338951,2564,1879,2515,2559,2350,0,0,0,0,0,0,0,0,S
1338986,2567,1847,2497,2567,2352,0,0,0,0,0,0,0,0,S
1338996,2571,1843,2515,2585,2362,0,0,0,0,0,0,0,0,S
1339031,2560,1866,2513,2573,2348,0,0,0,0,0,0,0,0,S
1339041,2571,1838,2505,2574,2363,0,0,0,0,0,0,0,0,S
1339076,2557,1844,2513,2570,2351,0,0,0,0,0,0,0,0,S
1339086,2566,1856,2502,2564,2347,0,0,0,0,0,0,0,0,S
1339121,2580,1855,2512,2572,2356,0,0,0,0,0,0,0,0,S
1339131,2569,1861,2501,2576,2354,0,0,0,0,0,0,0,0,S
1339166,2568,1865,2512,2573,2351,0,0,0,0,0,0,0,0,S
1339176,2556,1843,2508,2566,2356,0,0,0,0,0,0,0,0,S
1339211,2570,1855,2507,2569,2359,0,0,0,0,0,0,0,0,S
1339221,2564,1844,2514,2580,2356,0,0,0,0,0,0,0,0,S
1339256,2563,1815,2511,2551,2352,0,0,0,0,0,0,0,0,S
1339266,2568,1860,2514,2566,2351,0,0,0,0,0,0,0,0,S
1339301,2566,1853,2511,2563,2363,0,0,0,0,0,0,0,0,S
1339311,2570,1856,2509,2576,2354,0,0,0,0,0,0,0,0,S
1339346,2569,1864,2485,2572,2349,0,0,0,0,0,0,0,0,S
1339356,2576,1842,2523,2571,2364,0,0,0,0,0,0,0,0,S
1339391,2584,1859,2485,2569,2359,0,0,0,0,0,0,0,0,S
1339401,2567,1848,2508,2572,2375,0,0,0,0,0,0,0,0,S
1339436,2568,1837,2501,2563,2348,0,0,0,0,0,0,0,0,S
1339446,2574,1863,2499,2569,2358,0,0,0,0,0,0,0,0,S
1339481,2569,1847,2504,2567,2359,0,0,0,0,0,0,0,0,S
1339491,2574,1856,2518,2576,2361,0,0,0,0,0,0,0,0,S
1339526,2568,1833,2507,2574,2357,0,0,0,0,0,0,0,0,S
1339536,2568,1864,2500,2569,2355,0,0,0,0,0,0,0,0,S
1339571,2567,1856,2505,2567,2359,0,0,0,0,0,0,0,0,S
1339581,2571,1839,2504,2584,2354,0,0,0,0,0,0,0,0,S
1339616,2569,1857,2508,2567,2339,0,0,0,0,0,0,0,0,S
1339626,2571,1863,2501,2560,2346,0,0,0,0,0,0,0,0,S
1339661,2577,1866,2517,2578,2358,0,0,0,0,0,0,0,0,S
1339671,2575,1847,2497,2568,2362,0,0,0,0,0,0,0,0,S
1339706,2559,1851,2496,2569,2356,0,0,0,0,0,0,0,0,S
1339716,2563,1855,2503,2567,2356,0,0,0,0,0,0,0,0,S
1339751,2572,1845,2496,2571,2360,0,0,0,0,0,0,0,0,S
1339761,2565,1854,2504,2578,2362,0,0,0,0,0,0,0,0,S
1339796,2576,1847,2507,2583,2354,0,0,0,0,0,0,0,0,S
1339806,2564,1857,2504,2572,2355,0,0,0,0,0,0,0,0,S
1339841,2571,1830,2495,2576,2366,0,0,0,0,0,0,0,0,S
1339851,2570,1861,2497,2572,2353,0,0,0,0,0,0,0,0,S
1339886,2574,1841,2497,2580,2340,0,0,0,0,0,0,0,0,S
1339896,2556,1861,2511,2589,2364,0,0,0,0,0,0,0,0,S
1339931,2565,1820,2514,2567,2361,0,0,0,0,0,0,0,0,S
1339976,2566,1861,2504,2567,2357,0,0,0,0,0,0,0,0,S
1339987,2571,1860,2493,2566,2349,0,0,0,0,0,0,0,0,S
1340021,2576,1854,2486,2572,2369,0,0,0,0,0,0,0,0,S
1340031,2563,1856,2496,2585,2362,0,0,0,0,0,0,0,0,S
1340066,2577,1865,2495,2570,2357,0,0,0,0,0,0,0,0,S
1340076,2578,1861,2511,2565,2354,0,0,0,0,0,0,0,0,S
1340111,2569,1853,2496,2567,2359,0,0,0,0,0,0,0,0,S
1340121,2570,1831,2505,2575,2363,0,0,0,0,0,0,0,0,S
1340156,2553,1839,2492,2571,2339,0,0,0,0,0,0,0,0,S
1340166,2554,1858,2497,2562,2351,0,0,0,0,0,0,0,0,S
1340201,2554,1844,2488,2568,2349,0,0,0,0,0,0,0,0,S
1340211,2540,1846,2489,2556,2348,0,0,0,0,0,0,0,0,S
1340246,2540,1834,2499,2566,2350,0,0,0,0,0,0,0,0,S
1340256,2533,1842,2482,2553,2339,0,0,0,0,0,0,0,0,S
1340291,2531,1865,2480,2558,2357,0,0,0,0,0,0,0,0,S
1340301,2544,1846,2505,2549,2348,0,0,0,0,0,0,0,0,S
1340336,2547,1857,2485,2566,2340,0,0,0,0,0,0,0,0,S
1340346,2547,1850,2486,2560,2347,0,0,0,0,0,0,0,0,S
1340381,2537,1844,2478,2568,2352,0,0,0,0,0,0,0,0,S
1340391,2548,1855,2487,2563,2354,0,0,0,0,0,0,0,0,S
1340426,2534,1848,2483,2561,2352,0,0,0,0,0,0,0,0,S
1340436,2537,1837,2489,2558,2351,0,0,0,0,0,0,0,0,S
