t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
1348705,2554,1856,2492,2558,2351,0,0,0,0,0,0,0,0,S
1348716,2574,1877,2503,2570,2350,0,0,0,0,0,0,0,0,S
1348750,2552,1889,2503,2568,2362,0,0,0,0,0,0,0,0,S
1348761,2562,1892,2516,2568,2370,0,0,0,0,0,0,0,0,S
1348795,2562,1894,2508,2569,2358,0,0,0,0,0,0,0,0,S
1348806,2560,1844,2503,2568,2359,0,0,0,0,0,0,0,0,S
1348840,2566,1884,2495,2560,2354,0,0,0,0,0,0,0,0,S
1348851,2567,1901,2505,2562,2356,0,0,0,0,0,0,0,0,S
1348886,2555,1873,2508,2569,2355,0,0,0,0,0,0,0,0,S
1348896,2559,1872,2517,2555,2356,0,0,0,0,0,0,0,0,S
1348930,2568,1877,2496,2573,2352,0,0,0,0,0,0,0,0,S
1348941,2574,1898,2491,2565,2361,0,0,0,0,0,0,0,0,S
1348975,2574,1866,2493,2562,2362,0,0,0,0,0,0,0,0,S
1348986,2552,1883,2500,2582,2357,0,0,0,0,0,0,0,0,S
1349020,2562,1886,2499,2574,2358,0,0,0,0,0,0,0,0,S
1349031,2564,1856,2497,2568,2368,0,0,0,0,0,0,0,0,S
1349065,2569,1891,2515,2578,2368,0,0,0,0,0,0,0,0,S
1349076,2564,1869,2503,2559,2358,0,0,0,0,0,0,0,0,S
1349110,2559,1877,2491,2566,2356,0,0,0,0,0,0,0,0,S
1349121,2568,1878,2508,2563,2364,0,0,0,0,0,0,0,0,S
1349155,2564,1874,2487,2569,2361,0,0,0,0,0,0,0,0,S
1349166,2564,1891,2508,2565,2372,0,0,0,0,0,0,0,0,S
1349200,2565,1894,2517,2560,2359,0,0,0,0,0,0,0,0,S
1349211,2569,1871,2511,2569,2356,0,0,0,0,0,0,0,0,S
1349245,2565,1869,2504,2549,2364,0,0,0,0,0,0,0,0,S
1349256,2565,1866,2490,2592,2368,0,0,0,0,0,0,0,0,S
1349290,2560,1875,2505,2565,2359,0,0,0,0,0,0,0,0,S
1349301,2574,1879,2499,2568,2372,0,0,0,0,0,0,0,0,S
1349335,2576,1884,2500,2552,2359,0,0,0,0,0,0,0,0,S
1349346,2549,1865,2514,2572,2351,0,0,0,0,0,0,0,0,S
1349380,2562,1897,2500,2584,2360,0,0,0,0,0,0,0,0,S
1349391,2572,1881,2506,2574,2363,0,0,0,0,0,0,0,0,S
1349425,2564,1887,2498,2566,2364,0,0,0,0,0,0,0,0,S
1349436,2561,1892,2507,2571,2351,0,0,0,0,0,0,0,0,S
1349470,2559,1874,2502,2567,2361,0,0,0,0,0,0,0,0,S
1349515,2570,1862,2505,2559,2357,0,0,0,0,0,0,0,0,S
1349526,2566,1872,2506,2565,2355,0,0,0,0,0,0,0,0,S
1349560,2565,1889,2511,2573,2370,0,0,0,0,0,0,0,0,S
1349571,2564,1880,2502,2566,2364,0,0,0,0,0,0,0,0,S
1349605,2563,1907,2512,2567,2360,0,0,0,0,0,0,0,0,S
1349616,2559,1886,2502,2579,2359,0,0,0,0,0,0,0,0,S
