t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll
122920,-1,1,2,1,-1,476,-43,8202,-47,-32,-4,-3321,-300
122935,4,-1,-1,2,-4,488,-9,8178,-47,-32,-5,-3414,-63
122950,6,8,-5,3,3,507,-2,8178,-46,-32,-5,-3547,-14
123007,-1,4,-3,2,-1,524,-23,8099,-45,-31,-6,-3701,-162
123019,-5,4,2,1,-1,488,2,8243,-45,-28,-5,-3388,13
123031,1,-1,6,-6,4,490,9,8178,-47,-33,-10,-3428,63
123052,2,2,1,-3,6,519,-21,8130,-48,-30,-3,-3652,-147
123064,8,0,0,8,-1,464,16,8209,-42,-29,-7,-3235,111
123076,2,-2,4,3,4,488,35,8250,-48,-32,-6,-3385,243
123097,-1,3,5,3,-1,514,-26,8183,-46,-28,-7,-3594,-182
123109,2,0,-1,-1,-4,505,-40,8123,-47,-33,-8,-3557,-282
123121,4,3,0,-3,-3,553,-4,8145,-48,-32,-10,-3884,-28
123142,6,2,0,8,6,483,-16,8133,-46,-32,-6,-3398,-112
123154,-1,4,-1,-1,-5,519,40,8154,-49,-33,-5,-3641,281
123166,-1,1,-1,0,1,500,-40,8204,-47,-33,-8,-3487,-279
123187,1,4,2,5,-1,497,-38,8188,-48,-31,-8,-3473,-265
123199,2,0,1,3,-1,464,4,8164,-48,-32,-7,-3252,28
123211,2,-5,0,6,5,517,52,8137,-43,-26,-6,-3635,366
123277,3,0,3,10,3,490,9,8252,-44,-31,-8,-3398,62
123289,-1,1,-2,0,-3,512,14,8334,-43,-32,-10,-3515,96
123301,0,-1,-3,-1,2,538,33,8157,-46,-30,-7,-3773,231
123322,3,3,-1,1,6,517,0,8190,-44,-32,-8,-3612,0
123334,-1,8,-5,4,-1,512,-21,8224,-44,-33,-8,-3562,-146
123346,2,0,-2,0,0,445,33,8255,-44,-31,-8,-3085,229
123367,-1,4,-3,-2,1,553,-11,8286,-47,-33,-4,-3818,-76
123379,2,4,5,8,-3,466,21,8214,-45,-35,-10,-3247,146
123391,-2,2,2,3,1,452,-9,8245,-48,-34,-8,-3137,-62
123412,4,4,0,4,5,457,21,8219,-45,-29,-9,-3182,146
123424,-1,2,2,-2,-1,565,21,8243,-45,-31,-7,-3921,145
123436,5,0,1,-2,6,486,9,8291,-47,-31,-7,-3354,62
123457,-1,1,0,7,2,507,7,8279,-43,-30,-8,-3504,48
123469,5,0,3,4,3,553,-9,8264,-43,-28,-10,-3828,-62
123481,-2,2,2,-5,0,524,-21,8133,-47,-34,-7,-3686,-147
123502,2,-4,-1,8,-1,524,38,8169,-46,-29,-13,-3670,266
123514,0,-1,-1,-5,-1,526,-14,8192,-49,-30,-9,-3673,-97
123526,-1,4,0,-5,4,500,0,8259,-46,-33,-4,-3464,0
123547,-1,1,-3,-3,0,464,26,8214,-43,-32,-7,-3233,181
123559,1,-2,4,3,4,507,7,8267,-47,-33,-5,-3509,48
123571,1,-1,-2,4,-1,490,7,8133,-47,-34,-7,-3447,49
123592,4,3,6,1,3,507,40,8188,-48,-35,-7,-3543,279
123604,-1,1,4,5,0,545,2,8185,-45,-33,-6,-3809,14
123616,-2,1,3,3,-1,497,-16,8161,-49,-32,-10,-3484,-112
123637,1,0,0,-1,8,483,26,8159,-45,-33,-11,-3387,182
123649,5,-1,2,2,3,548,57,8279,-46,-31,-5,-3786,394
123661,-3,-1,7,4,6,464,38,8274,-46,-29,-6,-3209,263
123682,4,4,-1,1,0,462,-14,8113,-48,-27,-7,-3259,-98
123694,5,3,1,-1,0,471,-31,8180,-45,-30,-10,-3295,-217
123706,-5,4,5,0,-2,462,0,8188,-50,-32,-9,-3229,0
123727,-2,-1,-1,-3,-3,495,-23,8204,-46,-32,-9,-3452,-160
123739,1,1,0,0,4,533,-23,8137,-45,-29,-7,-3747,-161
123751,-1,2,-2,-2,2,550,38,8279,-46,-30,-6,-3800,262
