t_ms,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Pitch,Roll,Sign
1297856,2453,1766,2490,2575,2319,0,0,0,0,0,0,0,0,E
1297866,2458,1789,2506,2579,2344,0,0,0,0,0,0,0,0,E
1297901,2459,1747,2520,2568,2339,0,0,0,0,0,0,0,0,E
1297911,2470,1768,2508,2574,2323,0,0,0,0,0,0,0,0,E
1297946,2467,1766,2505,2583,2327,0,0,0,0,0,0,0,0,E
1297957,2456,1775,2496,2583,2326,0,0,0,0,0,0,0,0,E
1297991,2449,1776,2494,2566,2335,0,0,0,0,0,0,0,0,E
1298001,2462,1779,2503,2575,2319,0,0,0,0,0,0,0,0,E
1298036,2454,1777,2490,2573,2344,0,0,0,0,0,0,0,0,E
1298046,2467,1775,2496,2587,2337,0,0,0,0,0,0,0,0,E
1298081,2463,1771,2500,2593,2336,0,0,0,0,0,0,0,0,E
1298091,2455,1770,2497,2580,2328,0,0,0,0,0,0,0,0,E
1298126,2465,1771,2495,2573,2345,0,0,0,0,0,0,0,0,E
1298136,2468,1773,2480,2572,2338,0,0,0,0,0,0,0,0,E
1298171,2454,1780,2492,2584,2339,0,0,0,0,0,0,0,0,E
1298181,2461,1784,2495,2577,2319,0,0,0,0,0,0,0,0,E
1298216,2451,1780,2497,2584,2301,0,0,0,0,0,0,0,0,E
1298226,2465,1781,2502,2584,2322,0,0,0,0,0,0,0,0,E
1298261,2464,1775,2487,2571,2340,0,0,0,0,0,0,0,0,E
1298271,2459,1787,2501,2580,2336,0,0,0,0,0,0,0,0,E
1298306,2459,1770,2497,2571,2337,0,0,0,0,0,0,0,0,E
1298316,2464,1774,2485,2576,2330,0,0,0,0,0,0,0,0,E
1298351,2472,1769,2503,2570,2335,0,0,0,0,0,0,0,0,E
1298361,2459,1760,2495,2569,2327,0,0,0,0,0,0,0,0,E
1298396,2461,1773,2508,2563,2359,0,0,0,0,0,0,0,0,E
1298407,2460,1771,2493,2575,2336,0,0,0,0,0,0,0,0,E
1298441,2453,1775,2499,2580,2329,0,0,0,0,0,0,0,0,E
1298451,2460,1775,2509,2579,2346,0,0,0,0,0,0,0,0,E
1298486,2464,1774,2496,2592,2316,0,0,0,0,0,0,0,0,E
1298496,2453,1781,2504,2575,2336,0,0,0,0,0,0,0,0,E
1298531,2444,1775,2496,2581,2337,0,0,0,0,0,0,0,0,E
1298541,2462,1772,2487,2572,2348,0,0,0,0,0,0,0,0,E
1298576,2452,1769,2486,2575,2336,0,0,0,0,0,0,0,0,E
1298586,2466,1795,2489,2589,2338,0,0,0,0,0,0,0,0,E
1298621,2461,1775,2491,2583,2332,0,0,0,0,0,0,0,0,E
1298631,2463,1778,2493,2569,2330,0,0,0,0,0,0,0,0,E
1298666,2451,1773,2479,2581,2322,0,0,0,0,0,0,0,0,E
1298676,2459,1776,2485,2571,2335,0,0,0,0,0,0,0,0,E
1298711,2457,1768,2501,2577,2338,0,0,0,0,0,0,0,0,E
1298721,2459,1776,2498,2579,2320,0,0,0,0,0,0,0,0,E
1298756,2456,1775,2498,2579,2331,0,0,0,0,0,0,0,0,E
1298766,2454,1762,2492,2579,2335,0,0,0,0,0,0,0,0,E
1298801,2463,1766,2504,2573,2339,0,0,0,0,0,0,0,0,E
1298847,2460,1779,2493,2578,2342,0,0,0,0,0,0,0,0,E
1298858,2459,1774,2491,2576,2323,0,0,0,0,0,0,0,0,E
1298891,2456,1776,2496,2568,2328,0,0,0,0,0,0,0,0,E
1298901,2466,1779,2506,2579,2339,0,0,0,0,0,0,0,0,E
1298936,2453,1774,2499,2571,2345,0,0,0,0,0,0,0,0,E
1298946,2454,1779,2498,2588,2339,0,0,0,0,0,0,0,0,E
1298981,2440,1773,2511,2585,2335,0,0,0,0,0,0,0,0,E
1298991,2446,1769,2502,2571,2343,0,0,0,0,0,0,0,0,E
1299026,2443,1775,2502,2575,2331,0,0,0,0,0,0,0,0,E
1299036,2434,1767,2493,2576,2336,0,0,0,0,0,0,0,0,E
1299071,2437,1758,2503,2576,2344,0,0,0,0,0,0,0,0,E
